Timestamp,RSSI_dBm
"""2024-12-20 10:46:25.548""",-125.346
"""2024-12-20 10:46:27.990""",-132.019
"""2024-12-20 10:46:28.022""",-128.41
"""2024-12-20 10:46:31.523""",-127.501
"""2024-12-20 10:46:34.390""",-128.567
"""2024-12-20 10:46:37.007""",-125.033
"""2024-12-20 10:46:39.474""",-127.272
"""2024-12-20 10:46:42.642""",-127.089
"""2024-12-20 10:46:44.209""",-125.182
"""2024-12-20 10:46:46.539""",-129.805
"""2024-12-20 10:46:48.502""",-128.914
"""2024-12-20 10:46:49.908""",-128.082
"""2024-12-20 10:46:52.405""",-126.935
"""2024-12-20 10:46:54.327""",-130.458
"""2024-12-20 10:46:57.660""",-132.976
"""2024-12-20 10:47:00.831""",-128.811
"""2024-12-20 10:47:01.422""",-125.351
"""2024-12-20 10:47:03.835""",-129.563
"""2024-12-20 10:47:05.975""",-128.199
"""2024-12-20 10:47:07.991""",-125.454
"""2024-12-20 10:47:09.701""",-132.738
"""2024-12-20 10:47:10.267""",-129.386
"""2024-12-20 10:47:12.713""",-129.427
"""2024-12-20 10:47:14.063""",-130.074
"""2024-12-20 10:47:17.870""",-126.683
"""2024-12-20 10:47:18.051""",-132.322
"""2024-12-20 10:47:21.743""",-128.805
"""2024-12-20 10:47:23.675""",-131.808
"""2024-12-20 10:47:24.934""",-129.03
"""2024-12-20 10:47:25.351""",-129.447
"""2024-12-20 10:47:27.002""",-125.971
"""2024-12-20 10:47:28.204""",-132.268
"""2024-12-20 10:47:29.814""",-126.695
"""2024-12-20 10:47:31.568""",-132.607
"""2024-12-20 10:47:33.271""",-131.634
"""2024-12-20 10:47:34.881""",-126.277
"""2024-12-20 10:47:35.127""",-130.194
"""2024-12-20 10:47:36.392""",-126.874
"""2024-12-20 10:47:39.586""",-127.435
"""2024-12-20 10:47:42.568""",-132.079
"""2024-12-20 10:47:44.233""",-127.645
"""2024-12-20 10:47:45.729""",-126.604
"""2024-12-20 10:47:47.684""",-130.87
"""2024-12-20 10:47:48.605""",-131.805
"""2024-12-20 10:47:50.651""",-130.428
"""2024-12-20 10:47:52.222""",-131.173
"""2024-12-20 10:47:55.647""",-125.906
"""2024-12-20 10:47:56.310""",-131.017
"""2024-12-20 10:47:59.548""",-126.952
"""2024-12-20 10:48:00.738""",-127.47
"""2024-12-20 10:48:03.802""",-131.71
"""2024-12-20 10:48:06.873""",-128.277
"""2024-12-20 10:48:08.209""",-132.209
"""2024-12-20 10:48:11.538""",-125.534
"""2024-12-20 10:48:14.252""",-130.367
"""2024-12-20 10:48:17.384""",-129.881
"""2024-12-20 10:48:18.837""",-132.725
"""2024-12-20 10:48:21.222""",-132.448
"""2024-12-20 10:48:24.835""",-130.161
"""2024-12-20 10:48:27.285""",-128.437
"""2024-12-20 10:48:28.643""",-126.115
"""2024-12-20 10:48:30.647""",-131.687
"""2024-12-20 10:48:33.500""",-130.778
"""2024-12-20 10:48:35.177""",-131.03
"""2024-12-20 10:48:36.740""",-128.824
"""2024-12-20 10:48:39.628""",-125.29
"""2024-12-20 10:48:42.846""",-125.537
"""2024-12-20 10:48:45.820""",-132.032
"""2024-12-20 10:48:47.231""",-132.62
"""2024-12-20 10:48:48.793""",-129.921
"""2024-12-20 10:48:50.692""",-125.622
"""2024-12-20 10:48:53.589""",-131.335
"""2024-12-20 10:48:54.204""",-125.515
"""2024-12-20 10:48:55.484""",-132.627
"""2024-12-20 10:48:58.262""",-131.452
"""2024-12-20 10:48:59.870""",-128.387
"""2024-12-20 10:49:02.694""",-126.248
"""2024-12-20 10:49:05.976""",-129.743
