Timestamp,RSSI_dBm
"""2024-12-20 11:25:11.163""",-123.377
"""2024-12-20 11:25:12.184""",-120.551
"""2024-12-20 11:25:20.286""",-123.766
"""2024-12-20 11:25:21.297""",-121.716
"""2024-12-20 11:25:24.333""",-123.752
"""2024-12-20 11:25:26.365""",-123.061
"""2024-12-20 11:25:28.385""",-120.672
"""2024-12-20 11:25:30.415""",-122.092
"""2024-12-20 11:25:31.426""",-120.794
"""2024-12-20 11:25:33.447""",-122.881
"""2024-12-20 11:25:37.494""",-123.465
"""2024-12-20 11:25:38.504""",-120.975
"""2024-12-20 11:25:40.524""",-122.06
"""2024-12-20 11:25:41.535""",-119.875
"""2024-12-20 11:25:45.646""",-121.728
"""2024-12-20 11:25:48.687""",-121.64
"""2024-12-20 11:25:49.697""",-119.515
"""2024-12-20 11:25:50.707""",-122.526
"""2024-12-20 11:25:51.719""",-121.448
"""2024-12-20 11:25:53.744""",-119.68
"""2024-12-20 11:25:55.764""",-121.701
"""2024-12-20 11:25:56.784""",-120.803
"""2024-12-20 11:25:57.794""",-121.277
"""2024-12-20 11:25:59.825""",-120.834
"""2024-12-20 11:26:04.877""",-120.653
"""2024-12-20 11:26:06.898""",-122.582
"""2024-12-20 11:26:07.908""",-121.926
"""2024-12-20 11:26:08.918""",-118.986
"""2024-12-20 11:26:09.938""",-120.913
"""2024-12-20 11:26:13.979""",-117.42
"""2024-12-20 11:26:14.990""",-119.007
"""2024-12-20 11:26:17.011""",-118.1
"""2024-12-20 11:26:18.031""",-118.529
"""2024-12-20 11:26:19.031""",-120.827
"""2024-12-20 11:26:20.042""",-119.177
"""2024-12-20 11:26:21.052""",-121.779
"""2024-12-20 11:26:22.072""",-117.888
"""2024-12-20 11:26:24.093""",-120.67
"""2024-12-20 11:26:25.113""",-123.085
"""2024-12-20 11:26:26.116""",-120.575
"""2024-12-20 11:26:27.137""",-122.71
"""2024-12-20 11:26:28.147""",-122.799
"""2024-12-20 11:26:30.173""",-122.669
"""2024-12-20 11:26:32.205""",-122.065
"""2024-12-20 11:26:34.236""",-119.842
"""2024-12-20 11:26:36.257""",-120.247
"""2024-12-20 11:26:37.267""",-119.1
"""2024-12-20 11:26:38.287""",-122.067
"""2024-12-20 11:26:41.329""",-118.942
"""2024-12-20 11:26:46.384""",-118.162
"""2024-12-20 11:26:47.394""",-120.476
"""2024-12-20 11:26:48.404""",-118.8
"""2024-12-20 11:26:50.435""",-122.314
"""2024-12-20 11:26:55.509""",-121.444
"""2024-12-20 11:26:56.509""",-119.694
"""2024-12-20 11:26:59.539""",-120.55
"""2024-12-20 11:27:02.571""",-120.194
"""2024-12-20 11:27:03.581""",-122.249
"""2024-12-20 11:27:05.601""",-120.787
"""2024-12-20 11:27:07.621""",-118.861
"""2024-12-20 11:27:09.651""",-119.716
"""2024-12-20 11:27:15.722""",-120.415
"""2024-12-20 11:27:23.794""",-119.004
"""2024-12-20 11:27:26.825""",-118.159
"""2024-12-20 11:27:27.846""",-121.317
"""2024-12-20 11:27:28.846""",-121.788
"""2024-12-20 11:27:32.889""",-120.997
"""2024-12-20 11:27:34.920""",-118.968
"""2024-12-20 11:27:41.984""",-122.796
"""2024-12-20 11:27:44.005""",-120.318
"""2024-12-20 11:27:46.036""",-120.653
"""2024-12-20 11:27:48.037""",-120.88
"""2024-12-20 11:27:49.058""",-120.314
"""2024-12-20 11:27:50.068""",-122.074
"""2024-12-20 11:27:53.101""",-121.947
"""2024-12-20 11:27:56.132""",-120.883
"""2024-12-20 11:27:57.132""",-120.561
"""2024-12-20 11:27:58.153""",-121.007
"""2024-12-20 11:27:59.163""",-124.127
"""2024-12-20 11:28:02.204""",-122.204
"""2024-12-20 11:28:03.204""",-121.683
"""2024-12-20 11:28:05.224""",-121.468
"""2024-12-20 11:28:06.235""",-121.764
"""2024-12-20 11:28:10.285""",-122.746
"""2024-12-20 11:28:11.306""",-121.971
"""2024-12-20 11:28:12.307""",-122.618
"""2024-12-20 11:28:14.327""",-122.545
"""2024-12-20 11:28:16.360""",-122.055
"""2024-12-20 11:28:17.372""",-122.767
"""2024-12-20 11:28:19.392""",-124.544
"""2024-12-20 11:28:20.412""",-123.25
"""2024-12-20 11:28:21.423""",-122.367
"""2024-12-20 11:28:23.453""",-122.243
"""2024-12-20 11:28:30.524""",-124.483
"""2024-12-20 11:28:31.544""",-124.14
"""2024-12-20 11:28:33.555""",-124.666
"""2024-12-20 11:28:34.565""",-124.236
"""2024-12-20 11:28:36.585""",-124.735
"""2024-12-20 11:28:43.658""",-122.376
"""2024-12-20 11:28:46.692""",-122.097
"""2024-12-20 11:28:48.713""",-122.033
"""2024-12-20 11:28:52.745""",-121.426
"""2024-12-20 11:28:54.765""",-121.02
"""2024-12-20 11:28:55.779""",-117.299
"""2024-12-20 11:28:56.790""",-120.678
"""2024-12-20 11:28:57.809""",-119.359
"""2024-12-20 11:28:58.819""",-118.722
